bookid,authorid,publisherid,Book,Genureid,Avg_Rating
1310,2309,11309,The Book of Illusions,91309,3.9
1311,2310,11310,Just So Stories,91310,4.06
1312,2311,11311,Slave to the Dream: Everyone’s Dream,91311,4.23
1313,2312,11312,The True Story of the 3 Little Pigs,91312,4.31
1314,2313,11313,Lost Horizon,91313,3.95
1315,2314,11314,The Top Five Teachings: An Asian Exploration of the Mysteries of Christ,91314,4.16
1316,2315,11315,Stillhouse Lake (Stillhouse Lake #1),91315,4.12
1317,2316,11316,A Dance with Dragons (A Song of Ice and Fire #5),91316,4.33
1318,2317,11317,Darkly Dreaming Dexter (Dexter #1),91317,3.9
1319,2318,11318,Number 13 (Lightmasters #1),91318,4.11
1320,2319,11319,The Gordonston Ladies Dog Walking Club (The Gordonston Ladies Dog Walking Club #1),91319,3.4
1321,2320,11320,The Murder of Roger Ackroyd (Hercule Poirot #4),91320,4.26
1322,2321,11321,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,91321,4.1
1323,2322,11322,The Mysterious Affair at Styles (Hercule Poirot #1),91322,4.0
1324,2323,11323,The Big Short: Inside the Doomsday Machine,91323,4.29
1325,2324,11324,Imperial Bedrooms,91324,3.19
1326,2325,11325,Bad Science,91325,4.06
1327,2326,11326,The Hour I First Believed,91326,3.82
1328,2327,11327,The Last Prophet,91327,3.97
1329,2328,11328,The Art of Asking; or How I Learned to Stop Worrying and Let People Help,91328,3.92
1330,2329,11329,Frostbite (Vampire Academy #2),91329,4.26
1331,2330,11330,Haunted,91330,3.6
1332,2331,11331,Apology,91331,4.2
1333,2332,11332,Ham on Rye,91332,4.15
1334,2333,11333,The Audacity of Hope: Thoughts on Reclaiming the American Dream,91333,3.82
1335,2334,11334,The Storyteller,91334,4.29
1336,2335,11335,The Case for Christ,91335,4.19
1337,2336,11336,Fangirl,91336,3.97
1338,2337,11337,The Daughter of Time (Inspector Alan Grant #5),91337,3.91
1339,2338,11338,Tree of Smoke,91338,3.59
1340,2339,11339,The Princess Diaries (The Princess Diaries #1),91339,3.8
1341,2340,11340,Good Night Mr. Tom,91340,4.31
1342,2341,11341,The Life and Opinions of Tristram Shandy Gentleman,91341,3.73
1343,2342,11342,Olive Kitteridge (Olive Kitteridge #1),91342,3.85
1344,2343,11343,The Client,91343,4.04
1345,2344,11344,Poetics,91344,3.83
1346,2345,11345,For the Love of Armin,91345,4.29
1347,2346,11346,The House of Hades (The Heroes of Olympus #4),91346,4.56
1348,2347,11347,Dueling Fates (Immar & Stauros trilogy #1),91347,4.31
1349,2348,11348,House of Sand and Fog,91348,3.86
1350,2349,11349,I Never Promised You a Rose Garden,91349,3.88
1351,2350,11350,We Have Always Lived in the Castle,91350,3.95
1352,2351,11351,Death in Venice,91351,3.71
1353,2352,11352,Wizard and Glass (The Dark Tower #4),91352,4.26
1354,2353,11353,The Exorcist,91353,4.2
1355,2354,11354,The Tiger's Wife,91354,3.41
1356,2355,11355,Hard-Boiled Wonderland and the End of the World,91355,4.13
1357,2356,11356,Novel with Cocaine,91356,3.82
1358,2357,11357,The Social Contract,91357,3.78
1359,2358,11358,The Tattooist of Auschwitz (The Tattooist of Auschwitz #1),91358,4.29
1360,2359,11359,The Steward (Weald Fae Journals #1),91359,3.93
1361,2360,11360,The Collector,91360,3.98
1362,2361,11361,David and Goliath: Underdogs Misfits and the Art of Battling Giants,91361,3.96
1363,2362,11362,Empire of Pain: The Secret History of the Sackler Dynasty,91362,4.55
1364,2363,11363,Evermore (The Immortals #1),91363,3.59
1365,2364,11364,High-Rise,91364,3.61
1366,2365,11365,A Gracious Enemy,91365,4.33
1367,2366,11366,Mort (Discworld #4; Death #1),91366,4.24
1368,2367,11367,Why Does He Do That?: Inside the Minds of Angry and Controlling Men,91367,4.45
1369,2368,11368,White Teeth,91368,3.79
1370,2369,11369,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,91369,4.14
1371,2370,11370,Time Enough for Love,91370,3.97
1372,2371,11371,The Gospel According to Jesus Christ,91371,4.31
1373,2372,11372,My Family and Other Animals (Corfu Trilogy #1),91372,4.17
1374,2373,11373,A Discovery of Witches (All Souls #1),91373,4.02
1375,2374,11374,The Sisterhood of the Traveling Pants (Sisterhood #1),91374,3.83
1376,2375,11375,The Ancestor,91375,4.26
1377,2376,11376,The Tainted Trust (The King Trilogy #2),91376,3.86
1378,2377,11377,The Witching Hour (Lives of the Mayfair Witches #1),91377,4.1
1379,2378,11378,Calico Jack in your Garden,91378,4.2
1380,2379,11379,Catherine the Great: Portrait of a Woman,91379,3.93
1381,2380,11380,Daughter of Smoke & Bone (Daughter of Smoke & Bone #1),91380,4.0
1382,2381,11381,Glamorama,91381,3.52
1383,2382,11382,Yes Please,91382,3.84
1384,2383,11383,The Human Obsession (Manufactured Identity #3),91383,4.14
1385,2384,11384,The Symposium,91384,4.08
1386,2385,11385,Time's Arrow,91385,3.76
1387,2386,11386,American Pastoral,91386,3.94
1388,2387,11387,The Watch,91387,3.59
1389,2388,11388,Midnight Sacrifice (Midnight #2),91388,4.23
1390,2389,11389,Gödel Escher Bach: An Eternal Golden Braid,91389,4.29
1391,2390,11390,You Will Know Me,91390,3.43
1392,2391,11391,Death Comes for the Archbishop,91391,3.94
1393,2392,11392,The Friendly Mouse,91392,4.43
1394,2393,11393,The Son of Neptune (The Heroes of Olympus #2),91393,4.42
1395,2394,11394,Small as a Mustard Seed,91394,4.1
1396,2395,11395,The Gulag Archipelago 1918–1956,91395,4.32
1397,2396,11396,In the Shadow of Man,91396,4.36
1398,2397,11397,Confessions of a Shopaholic (Shopaholic #1),91397,3.68
1399,2398,11398,The Yiddish Policemen's Union,91398,3.71
1400,2399,11399,Predictably Irrational: The Hidden Forces That Shape Our Decisions,91399,4.12
1401,2400,11400,The Checklist Manifesto: How to Get Things Right,91400,4.03
1402,2401,11401,The Quiet American,91401,3.97
1403,2402,11402,Zeitoun,91402,4.05
1404,2403,11403,A Little Pinprick (Rainey Paxton #1),91403,4.46
1405,2404,11404,Speaker for the Dead (Ender's Saga #2),91404,4.09
1406,2405,11405,A History of the World in 6 Glasses,91405,3.79
1407,2406,11406,West with the Night,91406,4.14
1408,2407,11407,Drum Beats Heart Beats (Dancing Soul Trilogy #3),91407,4.29
1409,2408,11408,House of Spies (Gabriel Allon #17),91408,4.3
1410,2409,11409,Every Day (Every Day #1),91409,3.91
1411,2410,11410,The Crying of Lot 49,91410,3.69
1412,2411,11411,My Horizontal Life: A Collection of One-Night Stands,91411,3.78
1413,2412,11412,The Polar Express,91412,4.32
1414,2413,11413,Can You Keep a Secret?,91413,3.84
1415,2414,11414,Doomsday Book (Oxford Time Travel #1),91414,4.03
1416,2415,11415,Grendel,91415,3.69
1417,2416,11416,Clown Girl,91416,3.48
1418,2417,11417,Fun Home: A Family Tragicomic,91417,4.08
1419,2418,11418,The Year of the Flood (MaddAddam #2),91418,4.06
1420,2419,11419,The Source,91419,4.3
1421,2420,11420,Naked in Death (In Death #1),91420,4.13
1422,2421,11421,Killing Yourself to Live: 85% of a True Story,91421,3.85
1423,2422,11422,Projector for Sale,91422,4.3
1424,2423,11423,Lean In: Women Work and the Will to Lead,91423,3.95
1425,2424,11424,The Code of the Woosters (Jeeves #7),91424,4.32
1426,2425,11425,Ronia the Robber's Daughter,91425,4.3
1427,2426,11426,Elon Musk: Tesla SpaceX and the Quest for a Fantastic Future,91426,4.2
1428,2427,11427,Out of the Silent Planet (The Space Trilogy #1),91427,3.92
1429,2428,11428,The Railway Children,91428,4.02
1430,2429,11429,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,91429,4.52
1431,2430,11430,My Summer in St. Ives,91430,4.47
1432,2431,11431,The Brothers Lionheart,91431,4.35
1433,2432,11432,Go Set a Watchman,91432,3.31
1434,2433,11433,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,91433,3.96
1435,2434,11434,Crossing to Safety,91434,4.16
1436,2435,11435,Pollyanna (Pollyanna #1),91435,4.0
1437,2436,11436,Team of Rivals: The Political Genius of Abraham Lincoln,91436,4.27
1438,2437,11437,Behind Closed Doors,91437,3.98
1439,2438,11438,Influence: The Psychology of Persuasion,91438,4.21
1440,2439,11439,An Unquiet Mind: A Memoir of Moods and Madness,91439,4.05
1441,2440,11440,Mind Maps: Quicker Notes Better Memory and Improved Learning 2.0,91440,3.62
1442,2441,11441,Crashing Back Down (Crashing #1),91441,3.8
1443,2442,11442,The Plains of Passage (Earth's Children #4),91442,3.84
1444,2443,11443,True Grit,91443,4.16
1445,2444,11444,The Complete Stories,91444,4.39
1446,2445,11445,In Farleigh Field,91445,3.99
1447,2446,11446,Dark Rooms,91446,3.1
1448,2447,11447,The Husband's Secret,91447,3.95
1449,2448,11448,Song Bird: Matters of the Heart,91448,4.36
1450,2449,11449,Getting Things Done: The Art of Stress-Free Productivity,91449,4.0
1451,2450,11450,The Happy Prince,91450,4.21
1452,2451,11451,The Beauty Myth,91451,3.91
1453,2452,11452,The Silver Linings Playbook,91452,3.98
1454,2453,11453,Homo Deus: A History of Tomorrow,91453,4.22
1455,2454,11454,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,91454,3.97
1456,2455,11455,A Mother's Reckoning: Living in the Aftermath of Tragedy,91455,4.13
1457,2456,11456,In Search of Lost Time,91456,4.35
1458,2457,11457,Animal Dreams,91457,4.06
1459,2458,11458,Rant: An Oral Biography of Buster Casey,91458,3.84
1460,2459,11459,Père Goriot,91459,3.85
1461,2460,11460,Life As We Knew It (Last Survivors #1),91460,3.88
1462,2461,11461,The Year of Magical Thinking,91461,3.93
1463,2462,11462,Timbi's Dream,91462,4.35
1464,2463,11463,The 7th Canon,91463,4.25
1465,2464,11464,How the World Really Works: A Scientist's Guide to Our Past Present and Future,91464,4.0
1466,2465,11465,Stop Overthinking: 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present (The Path to Calm Book 1),91465,3.83
1467,2466,11466,History of the Peloponnesian War,91466,3.92
1468,2467,11467,Equal Rites (Discworld #3; Witches #1),91467,4.05
1469,2468,11468,Hometown Girl After All (Hometown #2),91468,4.32
1470,2469,11469,The First 90 Days: Critical Success Strategies for New Leaders at All Levels,91469,3.86
1471,2470,11470,Nudge: Improving Decisions About Health Wealth and Happiness,91470,3.84
1472,2471,11471,Hometown Girl Forever (Hometown #3),91471,4.31
1473,2472,11472,Train Dreams,91472,3.9
1474,2473,11473,Forbidden,91473,3.99
1475,2474,11474,All Things Bright and Beautiful (All Creatures Great and Small #3-4),91474,4.33
1476,2475,11475,Fifty Shades Darker (Fifty Shades #2),91475,3.83
1477,2476,11476,The Grifters,91476,3.93
1478,2477,11477,Year of Wonders,91477,4.01
1479,2478,11478,Nutshell,91478,3.68
1480,2479,11479,Twenty Love Poems and a Song of Despair,91479,4.23
1481,2480,11480,Galactic Energies,91480,3.94
1482,2481,11481,Mike Mulligan and His Steam Shovel,91481,4.2
1483,2482,11482,Off the Grid: The Catalyst,91482,4.17
1484,2483,11483,The Short Second Life of Bree Tanner (The Twilight Saga #3.5),91483,3.51
1485,2484,11484,The Black Swan: The Impact of the Highly Improbable,91484,3.95
1486,2485,11485,The Histories,91485,3.99
1487,2486,11486,Through God's Eye,91486,4.26
1488,2487,11487,A Raisin in the Sun,91487,3.84
1489,2488,11488,The Human Stain (The American Trilogy #3),91488,3.9
1490,2489,11489,The Illuminatus! Trilogy,91489,4.01
1491,2490,11490,Originals: How Non-Conformists Move the World,91490,3.96
1492,2491,11491,Queer,91491,3.61
1493,2492,11492,Snuff,91492,3.21
1494,2493,11493,Time Chain,91493,4.15
1495,2494,11494,What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If? #1),91494,4.14
1496,2495,11495,May Day (American Sulla #1),91495,3.86
1497,2496,11496,Think Like a Freak,91496,3.85
1498,2497,11497,Fire (Graceling Realm #2),91497,4.1
1499,2498,11498,Hannibal (Hannibal Lecter #3),91498,3.8
1500,2499,11499,Hell's Angels,91499,3.99
1501,2500,11500,Evicted: Poverty and Profit in the American City,91500,4.47
1502,2501,11501,For One More Day,91501,4.11
1503,2502,11502,The 19th Wife,91502,3.65
1504,2503,11503,Foucault's Pendulum,91503,3.91
1505,2504,11504,You Are Not So Smart: Why You Have Too Many Friends on Facebook Why Your Memory Is Mostly Fiction and 46 Other Ways You're Deluding Yourself,91504,3.86
1506,2505,11505,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,91505,3.88
1507,2506,11506,Gorky Park (Arkady Renko #1),91506,4.04
1508,2507,11507,It Ends with Us (It Ends with Us #1),91507,4.27
1509,2508,11508,Under the Bus,91508,4.19
1510,2509,11509,Mary Poppins (Mary Poppins #1),91509,4.02
1511,2510,11510,Trust: A New Beginning (Trust Trilogy #1),91510,3.54
1512,2511,11511,Is Elvis Alive?,91511,3.16
1513,2512,11512,Syrian Brides,91512,4.18
1514,2513,11513,Understanding China: Learning from China's Past Present and Future,91513,3.91
1515,2514,11514,Sula,91514,4.0
1516,2515,11515,The Blindspots Between Us: How to Overcome Unconscious Cognitive Bias and Build Better Relationships,91515,3.94
1517,2516,11516,Yours Truly Taddy (The Undergrad Years #2; Invitation to Eden #1),91516,3.7
1518,2517,11517,Emotional Intelligence 2.0,91517,3.84
1519,2518,11518,Love Lex (The Undergrad Years #1),91518,3.22
1520,2519,11519,The Arbitrator,91519,4.28
1521,2520,11520,The Psychopath Test: A Journey Through the Madness Industry,91520,3.95
1522,2521,11521,A Dog's Purpose (A Dog's Purpose #1),91521,4.35
1523,2522,11522,Happiness Power: How to Unleash Your Power and Live a More Joyful Life,91522,4.34
1524,2523,11523,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,91523,4.0
1525,2524,11524,Eleven Minutes,91524,3.71
1526,2525,11525,Beach Music,91525,4.17
1527,2526,11526,Left to Tell: Discovering God Amidst the Rwandan Holocaust,91526,4.42
1528,2527,11527,Franz Kafka's The Castle,91527,4.1
1529,2528,11528,Dom Wars: Round One (Dom Wars #1),91528,3.72
1530,2529,11529,Déjà Dead (Temperance Brennan #1),91529,3.87
1531,2530,11530,Big Magic: Creative Living Beyond Fear,91530,3.95
1532,2531,11531,The Warmth of Other Suns: the Epic Story of America's Great Migration,91531,4.45
1533,2532,11532,On the Banks of Plum Creek (Little House #4),91532,4.22
1534,2533,11533,Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.,91533,4.22
1535,2534,11534,One Fish Two Fish Red Fish Blue Fish,91534,4.17
1536,2535,11535,Hotel on the Corner of Bitter and Sweet,91535,4.03
1537,2536,11536,The Blood of Olympus (The Heroes of Olympus #5),91536,4.43
1538,2537,11537,Immortality,91537,4.14
1539,2538,11538,The Silver Sphere,91538,4.11
1540,2539,11539,The Time Keeper,91539,3.88
1541,2540,11540,Suvashun,91540,3.95
1542,2541,11541,The Beagle and the Hare,91541,4.38
1543,2542,11542,Tooth for Tooth (Talion #2),91542,4.32
1544,2543,11543,A Suitable Boy (A Bridge of Leaves #1),91543,4.12
1545,2544,11544,Emotional Intelligence: Why It Can Matter More Than IQ,91544,4.04
1546,2545,11545,The Disaster Artist: My Life Inside The Room the Greatest Bad Movie Ever Made,91545,4.28
1547,2546,11546,Nothing to Envy: Ordinary Lives in North Korea,91546,4.44
1548,2547,11547,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),91547,3.97
1549,2548,11548,The Killer Inside Me,91548,3.86
1550,2549,11549,The Soft Machine (The Nova Trilogy #1),91549,3.43
1551,2550,11550,The Opposite of Loneliness: Essays and Stories,91550,3.85
1552,2551,11551,Wishful Drinking,91551,3.81
1553,2552,11552,A Book of Five Rings: The Classic Guide to Strategy,91552,3.99
1554,2553,11553,Tears of the Silenced,91553,4.27
1555,2554,11554,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,91554,4.11
1556,2555,11555,Hometown Girl Again (Hometown #5),91555,4.27
1557,2556,11556,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,91556,3.86
1558,2557,11557,Goose Island,91557,4.49
1559,2558,11558,BEHIND CLOSED DOORS: A Daughter's Story,91558,4.01
1560,2559,11559,Pope Joan,91559,4.08
1561,2560,11560,Dewey: The Small-Town Library Cat Who Touched the World,91560,3.86
1562,2561,11561,Cocaine Nights,91561,3.55
1563,2562,11562,Night Film,91562,3.78
1564,2563,11563,#Girlboss,91563,3.65
1565,2564,11564,Bill of Human Wrongs,91564,4.25
1566,2565,11565,The One and Only Ivan,91565,4.27
1567,2566,11566,The Scare,91566,3.79
1568,2567,11567,Interpreter of Maladies,91567,4.17
1569,2568,11568,The Portrait of a Lady,91568,3.79
1570,2569,11569,102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers,91569,4.28
1571,2570,11570,Neither Here nor There: Travels in Europe,91570,3.85
1572,2571,11571,The Thief Lord,91571,3.98
1573,2572,11572,Immoral Origins (The Desire Card #1),91572,4.28
1574,2573,11573,The Kitchen God's Wife,91573,4.03
1575,2574,11574,The Emperor of All Maladies: A Biography of Cancer,91574,4.32
1576,2575,11575,Essentialism: The Disciplined Pursuit of Less,91575,4.07
1577,2576,11576,The Invention of Wings,91576,4.25
1578,2577,11577,The Road to Serfdom,91577,4.16
1579,2578,11578,Deep Work: Rules for Focused Success in a Distracted World,91578,4.19
1580,2579,11579,Dark Passage (Dark Passage #1),91579,3.84
1581,2580,11580,Liar's Poker (Norton Paperback),91580,4.15
1582,2581,11581,The Sex Lives of Siamese Twins,91581,3.65
1583,2582,11582,Hidden Figures,91582,3.97
1584,2583,11583,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,91583,3.88
1585,2584,11584,Sleepers,91584,4.25
1586,2585,11585,Invisible Monsters Remix,91585,4.0
1587,2586,11586,The End of Everything,91586,3.36
1588,2587,11587,The Sluts,91587,3.83
1589,2588,11588,Guards! Guards! (Discworld #8; City Watch #1),91588,4.33
1590,2589,11589,The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,91589,4.2
1591,2590,11590,Wild at Heart: Discovering the Secret of a Man's Soul,91590,3.93
1592,2591,11591,Tales of the City (Tales of the City #1),91591,4.01
1593,2592,11592,America (The Book): A Citizen's Guide to Democracy Inaction,91592,4.0
1594,2593,11593,Self-Reliance and Other Essays,91593,4.13
1595,2594,11594,Grit: The Power of Passion and Perseverance,91594,4.08
1596,2595,11595,Holidays on Ice,91595,3.9
1597,2596,11596,The Bone People,91596,4.05
1598,2597,11597,Everybody Lies: Big Data New Data and What the Internet Can Tell Us About Who We Really Are,91597,3.91
1599,2598,11598,Say You're Sorry (Morgan Dane #1),91598,4.06
1600,2599,11599,Phenomena: The Lost and Forgotten Children,91599,4.13
1601,2600,11600,Little Brother (Little Brother #1),91600,3.93
1602,2601,11601,The Lucky One,91601,4.12
1603,2602,11602,How to Read a Book: The Classic Guide to Intelligent Reading,91602,3.98
1604,2603,11603,A Man Without a Country,91603,4.09
1605,2604,11604,How to Not Be an Idiot When You Get Divorced,91604,4.18
1606,2605,11605,The Seven Husbands of Evelyn Hugo,91605,4.45
1607,2606,11606,Lost Identity (The Remmich/Miller Series Book 1),91606,4.29
1608,2607,11607,Equating the Equations of Insanity: A Journey from Grief to Victory,91607,3.83
1609,2608,11608,Beneath a Scarlet Sky,91608,4.43
1610,2609,11609,The Rising (Blue River Chronicles #1),91609,3.72
1611,2610,11610,The Beach,91610,3.96
1612,2611,11611,Piercing,91611,3.66
1613,2612,11612,Curse of The Salute,91612,3.55
1614,2613,11613,How We Decide,91613,3.84
1615,2614,11614,Coin Locker Babies,91614,3.79
1616,2615,11615,Deep World Fire  (Deep World Saga #1),91615,4.19
1617,2616,11616,I the Sun,91616,4.21
1618,2617,11617,Dead Men's Trousers,91617,4.16
1619,2618,11618,Still Life with Woodpecker,91618,4.03
1620,2619,11619,Thud! (Discworld #34; City Watch #7),91619,4.34
1621,2620,11620,Cleopatra: A Life,91620,3.72
1622,2621,11621,Awakening (The Keeper #1),91621,3.73
1623,2622,11622,Let the Great World Spin,91622,3.95
1624,2623,11623,How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness Dying Addiction Depression and Transcendence,91623,4.26
1625,2624,11624,Revenge (The Keeper #2),91624,4.26
1626,2625,11625,The Righteous Mind: Why Good People Are Divided by Politics and Religion,91625,4.21
1627,2626,11626,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,91626,4.11
1628,2627,11627,Going Clear: Scientology Hollywood and the Prison of Belief,91627,4.04
1629,2628,11628,Eye of the Needle,91628,4.2
1630,2629,11629,84 Charing Cross Road,91629,4.16
1631,2630,11630,Dead Babies,91630,3.37
1632,2631,11631,Same Kind of Different as Me: A Modern-Day Slave an International Art Dealer and the Unlikely Woman Who Bound Them Together,91631,4.19
1633,2632,11632,Peyton Place (Peyton Place #1),91632,3.79
1634,2633,11633,An American Tragedy,91633,3.96
1635,2634,11634,Four Thousand Weeks: Time Management for Mortals,91634,4.25
1636,2635,11635,Save Yourself,91635,3.46
1637,2636,11636,The Pact,91636,4.02
1638,2637,11637,Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls,91637,3.95
1639,2638,11638,Bird by Bird: Some Instructions on Writing and Life,91638,4.23
1640,2639,11639,A Merciful Truth (Mercy Kilpatrick #2),91639,4.26
1641,2640,11640,Father and I Were Ranchers (Little Britches #1),91640,4.26
1642,2641,11641,Old Man's War (Old Man's War #1),91641,4.23
1643,2642,11642,The Grand Design,91642,4.06
1644,2643,11643,The Cement Garden,91643,3.55
1645,2644,11644,Salt Sugar Fat: How the Food Giants Hooked Us,91644,4.0
1646,2645,11645,Unwifeable: A Memoir,91645,3.52
1647,2646,11646,Big Sur,91646,3.84
1648,2647,11647,The Pale-Faced Lie,91647,4.29
1649,2648,11648,The Death of Bunny Munro,91648,3.44
1650,2649,11649,The Stone Diaries,91649,3.88
1651,2650,11650,Kicker,91650,4.1
1652,2651,11651,Hoodwinked: Uncovering Our Fundamental Superstitions,91651,4.33
1653,2652,11652,Gathering Blue (The Giver #2),91652,3.82
1654,2653,11653,Doctor Sleep (The Shining #2),91653,4.12
1655,2654,11654,Skipping Christmas,91654,3.54
1656,2655,11655,The Largesse of the Sea Maiden: Stories,91655,3.93
1657,2656,11656,Orange Is the New Black,91656,3.72
1658,2657,11657,The Great Alone,91657,4.39
1659,2658,11658,The City of Ember (Book of Ember #1),91658,3.89
1660,2659,11659,Appellate Judge (Jack Ludefance #3),91659,4.3
1661,2660,11660,The Swiss Family Robinson,91660,3.91
1662,2661,11661,What Dreams May Come,91661,3.95
1663,2662,11662,Sons and Lovers,91662,3.64
1664,2663,11663,Invisible,91663,3.73
1665,2664,11664,The Song of Achilles,91664,4.36
1666,2665,11665,Memoirs of Hadrian,91665,4.23
1667,2666,11666,The Last Battle (Chronicles of Narnia #7),91666,4.01
1668,2667,11667,The Girl Who Loved Tom Gordon,91667,3.62
1669,2668,11668,The Bachman Books,91668,4.14
1670,2669,11669,I'll Give You the Sun,91669,4.16
1671,2670,11670,My Life on the Road,91670,4.06
1672,2671,11671,The Accidental Tourist,91671,3.9
1673,2672,11672,The Dharma Bums,91672,3.93
1674,2673,11673,Jesus the Christ: A Study of the Messiah and His Mission According to Holy Scriptures Both Ancient and Modern,91673,4.62
1675,2674,11674,The Lusiads,91674,4.0
1676,2675,11675,The Woods,91675,4.05
1677,2676,11676,Africa's Child (Dancing Soul Trilogy #1),91676,4.31
1678,2677,11677,The Long Winter (Little House #6),91677,4.16
1679,2678,11678,The Forty Rules of Love,91678,4.13
1680,2679,11679,The Casual Vacancy,91679,3.3
1681,2680,11680,Filth,91680,3.8
1682,2681,11681,Wives and Daughters,91681,4.12
1683,2682,11682,Fingersmith,91682,4.02
1684,2683,11683,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,91683,3.71
1685,2684,11684,How to Read Literature Like a Professor,91684,3.63
1686,2685,11685,The Incredible Journey,91685,4.16
1687,2686,11686,Inheritance (The Inheritance Cycle #4),91686,4.13
1688,2687,11687,The Lost City of the Monkey God,91687,3.92
1689,2688,11688,The Complete Anne of Green Gables 8-Book Box Set,91688,4.44
1690,2689,11689,Being Mortal: Medicine and What Matters in the End,91689,4.48
1691,2690,11690,The Threat Below (Brathius History #1),91690,4.11
1692,2691,11691,If Life Is a Bowl of Cherries What Am I Doing in the Pits?,91691,4.03
1693,2692,11692,The Little Book of Hygge: The Danish Way to Live Well,91692,3.76
1694,2693,11693,Wyrd Sisters (Discworld #6; Witches #2),91693,4.15
1695,2694,11694,The Informers,91694,3.39
1696,2695,11695,Sadako and the Thousand Paper Cranes,91695,4.12
1697,2696,11696,The Complete Novels,91696,4.57
1698,2697,11697,The Lonely City: Adventures in the Art of Being Alone,91697,3.92
1699,2698,11698,The Sound of Suffering (The Master of Perception #2),91698,4.4
1700,2699,11699,Desert Solitaire,91699,4.19
1701,2700,11700,Cold Comfort Farm,91700,3.89
1702,2701,11701,Joyland,91701,3.93
1703,2702,11702,Last Sacrifice (Vampire Academy #6),91702,4.37
1704,2703,11703,Go Tell It on the Mountain,91703,4.03
1705,2704,11704,The Persecution of Mildred Dunlap,91704,3.89
1706,2705,11705,Tatiana and Alexander (The Bronze Horseman #2),91705,4.29
1707,2706,11706,Moonwalking with Einstein: The Art and Science of Remembering Everything,91706,3.88
1708,2707,11707,Garden Spells (Waverley Family #1),91707,4.06
1709,2708,11708,What We Talk About When We Talk About Love,91708,4.07
1710,2709,11709,Title: Audition,91709,3.52
1711,2710,11710,Why Nations Fail: The Origins of Power Prosperity and Poverty,91710,4.08
1712,2711,11711,Spirit Bound (Vampire Academy #5),91711,4.33
1713,2712,11712,Ragtime,91712,3.89
1714,2713,11713,Awoken,91713,4.15
1715,2714,11714,Letters From Your Soul,91714,4.32
1716,2715,11715,Out,91715,3.95
1717,2716,11716,The Lover,91716,3.73
1718,2717,11717,The Law,91717,4.35
1719,2718,11718,The Witches: Salem 1692,91718,3.24
1720,2719,11719,False Step,91719,3.61
1721,2720,11720,Understanding Power: The Indispensable Chomsky,91720,4.42
1722,2721,11721,When Things Fall Apart: Heart Advice for Difficult Times,91721,4.28
1723,2722,11722,The Long Dark Tea-Time of the Soul (Dirk Gently #2),91722,4.04
1724,2723,11723,Frankie the Ferret,91723,4.33
1725,2724,11724,The House of the Scorpion (Matteo Alacran #1),91724,4.08
1726,2725,11725,An Echo in the Bone (Outlander #7),91725,4.44
1727,2726,11726,Swan Song,91726,4.29
1728,2727,11727,The Twilight Saga,91727,3.92
1729,2728,11728,Made to Stick: Why Some Ideas Survive and Others Die,91728,3.98
1730,2729,11729,Almost Transparent Blue,91729,3.29
1731,2730,11730,Arcadia,91730,4.14
1732,2731,11731,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,91731,4.12
1733,2732,11732,The Bourne Supremacy (Jason Bourne #2),91732,4.11
1734,2733,11733,Angels,91733,3.95
1735,2734,11734,A Girl Named Zippy,91734,3.8
1736,2735,11735,The Chronicle of Sapta Sindhu,91735,3.52
1737,2736,11736,Bad Blood: Secrets and Lies in a Silicon Valley Startup,91736,4.41
1738,2737,11737,Eugene Onegin,91737,4.1
1739,2738,11738,Hometown Girl at Heart (Hometown #1),91738,4.29
1740,2739,11739,The Dark Tower (The Dark Tower #7),91739,4.27
1741,2740,11740,The Covert Passive Aggressive Narcissist: Recognizing the Traits and Finding Healing After Hidden Emotional and Psychological Abuse (The Narcissism Series Book 1),91740,4.31
1742,2741,11741,Pro Truth: A Practical Plan for Putting Truth Back Into Politics,91741,4.45
1743,2742,11742,Lab Girl,91742,3.98
1744,2743,11743,Scrappy Little Nobody,91743,3.86
1745,2744,11744,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,91744,3.87
