,authorid,Author
2515,3515,David Benioff
2516,3516,Naomi Klein
2517,3517,Bill Bryson
2518,3518,Frank W. Abagnale
2519,3519,Chad Harbach
2520,3520,Jonathan Haidt
2521,3521,Michael Hyatt
2522,3522,Tomi Adeyemi
2523,3523,Elie Wiesel
2524,3524,Jennifer Donnelly
2525,3525,Bob Woodward
2526,3526,Vincent van Gogh
2527,3527,Naomi Novik
2528,3528,Jenny  Lawson
2529,3529,Alan Duff
2530,3530,Yaa Gyasi
2531,3531,Margaret Atwood
2532,3532,Garth Nix
2533,3533,Boris Vian
2534,3534,Mara Powers
2535,3535,Kurt Vonnegut Jr.
2536,3536,Mary Ann Shaffer
2537,3537,Chelsea Luna
2538,3538,G.X. Chen
2539,3539,Deepak Chaswal
2540,3540,Brian L. Weiss
2541,3541,Rachel McGrath
2542,3542,Donald Jans
2543,3543,Amin Maalouf
2544,3544,Amy Croucher Rose
2545,3545,Diane Ackerman
2546,3546,Brett Axel
2547,3547,Huda Aweys
2548,3548,Antony Beevor
2549,3549,Liv Constantine
2550,3550,Truman Capote
2551,3551,Wilson Rawls
2552,3552,Oscar Wilde
2553,3553,Shandi Boyes
2554,3554,Lois Lowry
2555,3555,Christian Warren Freed
2556,3556,Richard Lloyd Parry
2557,3557,Edgar Rice Burroughs
2558,3558,Michel Houellebecq
2559,3559,TyCobbsTeeth
2560,3560,Shandi Boyes
2561,3561,Laurie Halse Anderson
2562,3562,Robin Cook
2563,3563,Trish Marie Dawson
2564,3564,Alice   Miller
2565,3565,Booker T. Washington
2566,3566,Renée Paule
2567,3567,Orhan Pamuk
2568,3568,Celeste Ng
2569,3569,Felix Abt
2570,3570,Martha Hall Kelly
2571,3571,Loung Ung
2572,3572,Maeve Binchy
2573,3573,Brae Wyckoff
2574,3574,Paul  Harbridge
2575,3575,Stephen King
2576,3576,Joshua E.S. Phillips
2577,3577,Christina Baker Kline
2578,3578,Marie Lu
2579,3579,Lee Child
2580,3580,Widad Akreyi
2581,3581,Widad Akreyi
2582,3582,Edgar Allan Poe
2583,3583,Patrick Lencioni
2584,3584,Dale Carnegie
2585,3585,Pauline Réage
2586,3586,Juddy Anderson C. Punzalan
2587,3587,Kate Morton
2588,3588,James Rollins
2589,3589,Chelsea Luna
2590,3590,Joe Hilley
2591,3591,Blake Crouch
2592,3592,Glennon Doyle
2593,3593,Pat Conroy
2594,3594,Theodore Dreiser
2595,3595,Sigrid Undset
2596,3596,Caitlin Doughty
2597,3597,Robert Anton Wilson
2598,3598,Henry David Thoreau
2599,3599,Stormie Omartian
2600,3600,Kate Morton
2601,3601,Charles Bukowski
2602,3602,Jennifer L. Armentrout
2603,3603,John C. Maxwell
2604,3604,Richelle Mead
2605,3605,Brent LeVasseur
2606,3606,Edward Albee
2607,3607,Po Bronson
2608,3608,Tabitha McGowan
2609,3609,Sarah J. Maas
2610,3610,Nathaniel Philbrick
2611,3611,Joseph Boyden
2612,3612,Jenny  Lawson
2613,3613,Avery Aster
2614,3614,Nadine Brandes
2615,3615,John Flanagan
2616,3616,Rupert Thomson
2617,3617,Liane Moriarty
2618,3618,Martha Stout
2619,3619,Glenn J. Soucy
2620,3620,Avery Aster
2621,3621,Widad Akreyi
2622,3622,Jack London
2623,3623,Min Jin Lee
2624,3624,Jaycee Dugard
2625,3625,James   Howell
2626,3626,John Medina
2627,3627,John C. Maxwell
2628,3628,Patrick Ness
2629,3629,Karin Slaughter
2630,3630,Philip C. Quaintrell
2631,3631,Terry Pratchett
2632,3632,James Faro
2633,3633,Elizabeth Haynes
2634,3634,Josh Kaufman
2635,3635,Dave Eggers
2636,3636,Sarah J. Maas
2637,3637,Rebecca Solnit
2638,3638,Christopher Paul Curtis
2639,3639,Mahbod Seraji
2640,3640,Stephen R. Covey
2641,3641,Dale Carnegie
2642,3642,David Simon
2643,3643,Jon Kabat-Zinn
2644,3644,Shannon Messenger
2645,3645,James Faro
2646,3646,Jim Gaffigan
2647,3647,James L. Ferrell
2648,3648,A.P.J. Abdul Kalam
2649,3649,Widad Akreyi
2650,3650,M.S.M. Barkawitz
2651,3651,Rick Riordan
2652,3652,Edgar Rice Burroughs
2653,3653,A.A. Milne
2654,3654,Douglas Coupland
2655,3655,Widad Akreyi
2656,3656,Lauren Kate
2657,3657,Anonymous
2658,3658,James Faro
2659,3659,Julie Mannino
2660,3660,Douglas Stone
2661,3661,Colson Whitehead
2662,3662,Adolfo Bioy Casares
2663,3663,Sarah J. Maas
2664,3664,Eça de Queirós
2665,3665,Scott Westerfeld
2666,3666,James Sillwood
2667,3667,Cormac McCarthy
2668,3668,Loreth Anne White
2669,3669,Bess Streeter Aldrich
2670,3670,Elizabeth George Speare
2671,3671,Peggy Orenstein
2672,3672,Andy Andrews
2673,3673,Allie Brosh
2674,3674,Isaac Marion
2675,3675,Jennifer Clement
2676,3676,W.P. Kinsella
2677,3677,Janet Evanovich
2678,3678,Tanya Thompson
2679,3679,Helen Macdonald
2680,3680,David Goggins
2681,3681,G.K. Chesterton
2682,3682,Barry Lyga
2683,3683,Rupi Kaur
2684,3684,Anonymous
2685,3685,Scott Turow
2686,3686,Alan Cumming
2687,3687,Andrzej Sapkowski
2688,3688,Colson Whitehead
2689,3689,Haruki Murakami
2690,3690,Thornton Wilder
2691,3691,Brandon Sanderson
2692,3692,Chuck Palahniuk
2693,3693,Sylvain Reynard
2694,3694,Felix Alexander
2695,3695,Jeffery M. Camp
2696,3696,Mark Barkawitz
2697,3697,Kirsten Fullmer
2698,3698,Roxane Gay
2699,3699,L.C. Conn
2700,3700,R. Buckminster Fuller
2701,3701,Napoleon Hill
2702,3702,Hillary Jordan
2703,3703,Neil Strauss
2704,3704,Nick Hornby
2705,3705,G Egore Pitir
2706,3706,Benjamin Graham
2707,3707,Yōko Ogawa
2708,3708,Elizabeth Bristol
2709,3709,Tina Seelig
2710,3710,Debra Borchert
2711,3711,Jeanette Winterson
2712,3712,Neal Stephenson
2713,3713,Gillian Dance
2714,3714,James Rollins
2715,3715,Laura Schlessinger
2716,3716,Leah Remini
2717,3717,Daniel J. Siegel
2718,3718,Reni Eddo-Lodge
2719,3719,Stephen Greenblatt
2720,3720,John O'Hara
2721,3721,Michael Shermer
2722,3722,Jean Kwok
2723,3723,Robin Sloan
2724,3724,Robert Galbraith
2725,3725,Emem Uko
2726,3726,Johann Hari
2727,3727,Wallace D. Wattles
2728,3728,Karl Braungart
2729,3729,Sarah Dessen
2730,3730,Viv Drewa
2731,3731,Ferenc Molnár
2732,3732,Elizabeth Moon
2733,3733,Stephen King
2734,3734,Karl Wiggins
2735,3735,Sam Kean
2736,3736,Janet E. Morris
2737,3737,Anonymous
2738,3738,Jack London
2739,3739,Julie Mannino
2740,3740,Terry Pratchett
2741,3741,Harlan Coben
2742,3742,T. Harv Eker
2743,3743,Steven Konkoly
2744,3744,T.M. Mendes
2745,3745,Erich Fromm
2746,3746,Bill Bryson
2747,3747,Jane Yolen
2748,3748,Samantha Power
2749,3749,Beatrix Potter
2750,3750,Deborah Blum
2751,3751,Sena Jeter Naslund
2752,3752,Wendelin Van Draanen
2753,3753,Louise Penny
2754,3754,Heinrich Harrer
2755,3755,Teddy Hayes
2756,3756,Erin Gruwell
2757,3757,Amanda Lindhout
2758,3758,Tricia Copeland
2759,3759,Spencer Johnson
2760,3760,Charlaine Harris
2761,3761,Patrick O'Brian
2762,3762,Shakti Gawain
2763,3763,Elle Brace
2764,3764,David Baldacci
2765,3765,Ron Millicent
2766,3766,M.J. Santley
2767,3767,Tom Robbins
2768,3768,Laurie Halse Anderson
2769,3769,Stephen Prothero
2770,3770,Richard Wright
2771,3771,Ransom Riggs
2772,3772,Cece Whittaker
2773,3773,Brian Christian
2774,3774,Ana Ingham
2775,3775,Kathy Acker
2776,3776,Anton Chekhov
2777,3777,Bill Bryson
2778,3778,Stephen Brusatte
2779,3779,Barbara Kingsolver
2780,3780,Stephen King
2781,3781,Neil Gaiman
2782,3782,J.K. Franko
2783,3783,Jill Leovy
2784,3784,Steve Martin
2785,3785,Gretchen Rubin
2786,3786,Stephen King
2787,3787,Augusten Burroughs
2788,3788,Plato
2789,3789,Neil deGrasse Tyson
2790,3790,Karin Slaughter
2791,3791,James A. Michener
2792,3792,John Buchan
2793,3793,Sylvia Plath
2794,3794,Gary Vaynerchuk
2795,3795,Judy Prescott Marshall
2796,3796,Hendri Coetzee
2797,3797,Shad Helmstetter
2798,3798,Becky Albertalli
2799,3799,Olivia Fox Cabane
2800,3800,Steven Pressfield
2801,3801,Jennings Michael Burch
2802,3802,Thomas Pynchon
2803,3803,David   Epstein
2804,3804,Abraham Lopez
2805,3805,P.D. James
2806,3806,Isak Dinesen
2807,3807,Megan Abbott
2808,3808,Ally Condie
2809,3809,Charlaine Harris
2810,3810,Karin Slaughter
2811,3811,Thomas  Harris
2812,3812,Simon Sinek
2813,3813,Jojo Moyes
2814,3814,Penelope Douglas
2815,3815,Richard Bach
2816,3816,Jim Carroll
2817,3817,China Miéville
2818,3818,Louisa May Alcott
2819,3819,Gene Wolfe
2820,3820,Charles Bukowski
2821,3821,Marilynne Robinson
2822,3822,Jasmine  Rose
2823,3823,Sue Grafton
2824,3824,Jill Lepore
2825,3825,Julie Kagawa
2826,3826,Brian Selznick
2827,3827,Carson McCullers
2828,3828,James M. Cain
2829,3829,Karin Slaughter
2830,3830,Clive Blake
2831,3831,Michal Siwiec
2832,3832,Michael Crichton
2833,3833,Paul Van Der Merwe
2834,3834,Eric M. Black
2835,3835,Kami Garcia
2836,3836,Erin Lockwood
2837,3837,toniwo
2838,3838,Max Thorn
2839,3839,L.R.W. Lee
2840,3840,Durgesh Satpathy
2841,3841,Paul Ola
2842,3842,T.J. Anderson
2843,3843,Donna K. Childree
2844,3844,Renée Paule
2845,3845,Su-Yen Hu
2846,3846,Philip Sington
2847,3847,T.H. Snyder
2848,3848,Jonathan Macpherson
2849,3849,Cassidy Storm
2850,3850,Jodi Ambrose
2851,3851,Non Nomen
2852,3852,Herman Wouk
2853,3853,Sara Shepard
2854,3854,Elfriede Jelinek
2855,3855,Alejandro Cremades
2856,3856,Gail Tsukiyama
2857,3857,Collette Sinclaire
2858,3858,China Miéville
2859,3859,Cassidy Storm
2860,3860,Chuck Palahniuk
2861,3861,Stormie Omartian
2862,3862,Rick Hanson
2863,3863,Biao  Wang
2864,3864,Mary Karr
2865,3865,Victoria Foyt
2866,3866,Poppy Z. Brite
2867,3867,Brock Booher
2868,3868,Kevin Kwan
2869,3869,Neil Pasricha
2870,3870,Robertson Davies
2871,3871,Charles Bukowski
2872,3872,Vanessa Diffenbaugh
2873,3873,Jack Canfield
2874,3874,Adam Nicke
2875,3875,Mary Oliver
2876,3876,Maya Angelou
2877,3877,Linda Howard
2878,3878,Sofi Oksanen
2879,3879,Jean de Brunhoff
2880,3880,C.M. Meridian
2881,3881,Melba Pattillo Beals
2882,3882,Harriet Lerner
2883,3883,Eric Hublot
2884,3884,James D. Bradley
2885,3885,Pawan Mishra
2886,3886,Karen Marie Moning
2887,3887,Rick Riordan
2888,3888,Colleen Hoover
2889,3889,Stephen King
2890,3890,Hans Christian Andersen
2891,3891,David J. Schwartz
2892,3892,Adolf Hitler
2893,3893,Dennis Cooper
2894,3894,A.D. Zoltan
2895,3895,Gene Luen Yang
2896,3896,Laura Ingalls Wilder
2897,3897,Jack C. Westman
2898,3898,Jo Nesbø
2899,3899,Kenneth   Thomas
2900,3900,Jonathan Swift
2901,3901,Hans Fallada
2902,3902,Steve Chandler
2903,3903,Cassandra Clare
2904,3904,Virginia Lee Burton
2905,3905,Jorge Luis Borges
2906,3906,Jack Schaefer
2907,3907,Raina Telgemeier
2908,3908,Marianne Williamson
2909,3909,Marissa Meyer
2910,3910,Paula Hawkins
2911,3911,Henry Miller
2912,3912,James Faro
2913,3913,Vicki Hendricks
2914,3914,Fumio Sasaki
2915,3915,Shirley Jackson
2916,3916,Christopher K. Germer
2917,3917,Katherine Marple
2918,3918,Sandy Tolan
2919,3919,Erich Maria Remarque
2920,3920,Susannah Cahalan
2921,3921,Michael Crichton
2922,3922,Rhonda Byrne
2923,3923,Steven Erikson
2924,3924,Bertolt Brecht
2925,3925,Jonathan Stroud
2926,3926,Laura Bates
2927,3927,Stormie Omartian
2928,3928,Lucian Bane
2929,3929,Sean Covey
2930,3930,Catherine Fisher
2931,3931,James Patterson
2932,3932,James Rollins
2933,3933,Ryan Holiday
2934,3934,Anita Amirrezvani
2935,3935,L. Ron Hubbard
2936,3936,Leigh Bardugo
2937,3937,Beth Revis
2938,3938,Amie Kaufman
2939,3939,Newt Scamander
2940,3940,Jacqueline Woodson
2941,3941,Naoki Higashida
2942,3942,Will Christopher Baer
2943,3943,Anthony Marra
2944,3944,Wendy   Walker
2945,3945,Liane Moriarty
2946,3946,Garth Nix
2947,3947,Naomi Alderman
2948,3948,Meik Wiking
2949,3949,Pema Chödrön
2950,3950,Larry Niven
2951,3951,Joe Abercrombie
2952,3952,Cecelia Ahern
2953,3953,Craig Clevenger
2954,3954,Martin Amis
2955,3955,Mark Villareal
2956,3956,Ian Fleming
2957,3957,Rupi Kaur
2958,3958,Stephen Tesher
2959,3959,Martha N. Beck
2960,3960,Chris Voss
2961,3961,Rhonda Byrne
2962,3962,Andy Weir
2963,3963,Gary Edward Gedall
2964,3964,Anne Rice
2965,3965,Kass Morgan
2966,3966,Geraldine Audre Lorde
2967,3967,Melissa Marr
2968,3968,A.J. Mouse
2969,3969,Peter   Ralph
2970,3970,Alex Garland
2971,3971,Geraldine Brooks
2972,3972,Ken Follett
2973,3973,Victoria Selman
2974,3974,Chris    Wright
2975,3975,Riley Sager
2976,3976,Robert Dugoni
2977,3977,Noel Streatfeild
2978,3978,Michael Connelly
2979,3979,David McCullough
2980,3980,Sherri Hayes
2981,3981,Anton Chekhov
2982,3982,John Grisham
2983,3983,Gilbert Adair
2984,3984,Anne Frasier
2985,3985,Per Petterson
2986,3986,Janet E. Morris
2987,3987,Robert A. Glover
2988,3988,Woody Allen
2989,3989,Haruki Murakami
2990,3990,Nathanael West
2991,3991,Honor Donohoe
2992,3992,D.K.  Janotta
2993,3993,Jean-Paul Sartre
2994,3994,Nelson DeMille
2995,3995,William Shakespeare
2996,3996,Paul Arden
2997,3997,Lemony Snicket
2998,3998,Dot Hutchison
2999,3999,Samantha Ryan Chandler
3000,4000,Ian Mortimer
3001,4001,John Grisham
3002,4002,M.T. Anderson
3003,4003,Mario Vargas Llosa
3004,4004,Jo Nesbø
3005,4005,Rolf Margenau
3006,4006,Elena Ferrante
3007,4007,Dana K. White
3008,4008,Mary Roach
3009,4009,Charles Duhigg
3010,4010,Patrick Ness
3011,4011,Linda Masemore Pirrung
3012,4012,Cherlina Works
3013,4013,Ally Carter
3014,4014,Dorothy L. Sayers
3015,4015,John Grisham
3016,4016,Cambria Brockman
3017,4017,Angie  Kim
3018,4018,Dennis Cooper
3019,4019,Orson Scott Card
3020,4020,Stanisław Lem
3021,4021,Madeleine L'Engle
3022,4022,Chelsea Luna
3023,4023,James Altucher
3024,4024,Ian McEwan
3025,4025,Sandie Jones
3026,4026,Phillip Urlevich
3027,4027,Frank Delaney
3028,4028,Linda Masemore Pirrung
3029,4029,Lee Child
3030,4030,Brandon Sanderson
3031,4031,Frank Herbert
3032,4032,Ruta Sepetys
3033,4033,Kirsten Fullmer
3034,4034,Allie Frost
3035,4035,Milan Kundera
3036,4036,James A. Michener
3037,4037,L.C. Conn
3038,4038,Kwei Quartey
3039,4039,Ayn Rand
3040,4040,Jenny Han
3041,4041,Fyodor Dostoevsky
3042,4042,Kirsten Fullmer
3043,4043,A.L. Gibson
3044,4044,A.F. Knott
3045,4045,Jan Brett
3046,4046,Halldór Laxness
3047,4047,Robert Greene
3048,4048,N.K. Pockett
3049,4049,Lisa Wingate
3050,4050,Cecelia Ahern
3051,4051,Tony Robbins
3052,4052,Adam  Johnson
3053,4053,Mark Goulston
3054,4054,Vishen Lakhiani
3055,4055,William Shakespeare
3056,4056,Jodi Picoult
3057,4057,Laurie A. Helgoe
3058,4058,David D. Burns
3059,4059,Jodi Picoult
3060,4060,Gary Chapman
3061,4061,Kent Haruf
3062,4062,Peter Shaffer
3063,4063,Isabel Allende
3064,4064,Brian Dennis Hartford
3065,4065,Daniel Mangena
3066,4066,Joshua Becker
3067,4067,Jeff Olson
3068,4068,Mindy Kaling
3069,4069,Hieronymus Hawkes
3070,4070,Jack Weatherford
3071,4071,Walter Rhein
3072,4072,L.C. Conn
3073,4073,L.C. Conn
3074,4074,Julie Mannino
3075,4075,Marlo Morgan
3076,4076,Richard Peck
3077,4077,Douglas Adams
3078,4078,Richard J.   O'Brien
3079,4079,Dorothy L. Sayers
3080,4080,Noam Chomsky
3081,4081,Adriana Trigiani
3082,4082,James Herriot
3083,4083,Cynthia Hand
3084,4084,Rupert Thomson
3085,4085,William Pène du Bois
3086,4086,Amor Towles
3087,4087,Oprah Winfrey
3088,4088,David Baldacci
3089,4089,Ernst F. Schumacher
3090,4090,Cary Elwes
3091,4091,Robert Jordan
3092,4092,Ruth Ware
3093,4093,David Baldacci
3094,4094,M.S. Matassa
3095,4095,RAMIREZ
3096,4096,Augustine of Hippo
3097,4097,Thomas Mann
3098,4098,Nina George
3099,4099,Karen Abbott
3100,4100,Jeffrey E. Young
3101,4101,V.C. Andrews
3102,4102,Abi Ketner
3103,4103,Iain M. Rodgers
3104,4104,David Mitchell
3105,4105,José Saramago
3106,4106,Salman Rushdie
3107,4107,Jorge Luis Borges
3108,4108,KGE Konkel
3109,4109,Michael T. Dolan
3110,4110,H.P. Lovecraft
3111,4111,Isaac Asimov
3112,4112,John F. Kennedy
3113,4113,J.R.R. Tolkien
3114,4114,Pierre Boulle
3115,4115,Liane Moriarty
3116,4116,Andrzej Sapkowski
3117,4117,Nicholas Sparks
3118,4118,Kola Boof
3119,4119,Chevy Stevens
3120,4120,Scott Adams
3121,4121,Michelle Hodkin
3122,4122,Chris Colfer
3123,4123,Julie Mannino
3124,4124,Agatha Christie
3125,4125,Karen Maitland
3126,4126,William Blake
3127,4127,James Rollins
3128,4128,Rupert Thomson
3129,4129,J.G. Ballard
3130,4130,Richard Wiseman
3131,4131,Bertrand Russell
3132,4132,Alexander McCall Smith
3133,4133,James Clavell
3134,4134,Michael J. Gelb
3135,4135,Chris Van Allsburg
3136,4136,Kathy Reichs
3137,4137,Thomas Hardy
3138,4138,John Grisham
3139,4139,Kazuo Ishiguro
3140,4140,Aleister Crowley
3141,4141,Booth Tarkington
3142,4142,Thornton Wilder
3143,4143,Wayne W. Dyer
3144,4144,Amie Kaufman
3145,4145,Jasmine  Rose
3146,4146,Jessie Burton
3147,4147,Jennifer Weiner
3148,4148,Christopher Paul Curtis
3149,4149,Henrik Ibsen
3150,4150,Barbara Robinson
3151,4151,Douglas Coupland
3152,4152,Brian Tracy
3153,4153,Kahlil Gibran
3154,4154,Richelle Mead
3155,4155,Terry Pratchett
3156,4156,Scott        Smith
3157,4157,Howard Fast
3158,4158,James Rollins
3159,4159,Pseudonymous Bosch
3160,4160,Hans Rosling
3161,4161,Sy Montgomery
3162,4162,Paulo Coelho
3163,4163,Italo Calvino
3164,4164,Miranda Hart
3165,4165,James S.A. Corey
3166,4166,W.B. Yeats
3167,4167,Rabindranath Tagore
3168,4168,David Foster Wallace
3169,4169,Karyl McBride
3170,4170,Waris Dirie
3171,4171,Shel Silverstein
3172,4172,Edgar Allan Poe
3173,4173,Tess Gerritsen
3174,4174,Michael Crichton
3175,4175,Sarah J. Maas
3176,4176,Stephen King
3177,4177,Jennifer A. Nielsen
3178,4178,Margaret Peterson Haddix
3179,4179,William Shakespeare
3180,4180,Paolo Bacigalupi
3181,4181,Thomas L. Friedman
3182,4182,George Saunders
3183,4183,Sarah J. Maas
3184,4184,C.S. Lewis
3185,4185,Ezra Barany
3186,4186,Edgar Allan Poe
3187,4187,Anna Caltabiano
3188,4188,Jessica Loving
3189,4189,Sara Shrieves
3190,4190,Francis Smith
3191,4191,Keith Ellison
3192,4192,Ken Poirot
3193,4193,Rahul Deokar
3194,4194,R.C. Hancock
3195,4195,Lola Smirnova
3196,4196,Sandip Khade
3197,4197,Lene Fogelberg
3198,4198,Tiffany   McDaniel
3199,4199,Thomas Pynchon
3200,4200,Audrey Grey
3201,4201,P.J. MacNamara
3202,4202,Confucius
3203,4203,Oliver Phipps
3204,4204,C.D. Blizzard
3205,4205,Michael Hyatt
3206,4206,Susan  David
3207,4207,Lauren  Alexander
3208,4208,Raymond Chandler
3209,4209,Patrick F. Rooney
3210,4210,Robert Thier
3211,4211,Neil A. Fiore
3212,4212,K.D. Edwards
3213,4213,Arthur Nersesian
3214,4214,Lauren  Alexander
3215,4215,Louisa May Alcott
3216,4216,Gene Zion
3217,4217,Lilas Taha
3218,4218,Bonnie McKeating
3219,4219,Pratik Patil
3220,4220,Tom Clancy
3221,4221,Bill Bryson
3222,4222,Milton Friedman
3223,4223,Lilly Singh
3224,4224,Emily  Williams
3225,4225,Dan Simmons
3226,4226,Lindsay Anne Kendal
3227,4227,Libba Bray
3228,4228,Collette Sinclaire
3229,4229,Landon Parham
3230,4230,Sabaa Tahir
3231,4231,Sarah Knight
3232,4232,Martin Luther King Jr.
3233,4233,T. Rafael Cimino
3234,4234,Steve  Harvey
3235,4235,Wilkie Collins
3236,4236,José Mauro de Vasconcelos
3237,4237,Tess Gerritsen
3238,4238,Aeschylus
3239,4239,Joni Eareckson Tada
3240,4240,Edgar Allan Poe
3241,4241,Alexei Maxim Russell
3242,4242,E.B. Sledge
3243,4243,Sarah Knight
3244,4244,Stephen King
3245,4245,Paul Scott
3246,4246,Judith Kerr
3247,4247,Andrzej Sapkowski
3248,4248,T.S. Eliot
3249,4249,Jams N. Roses
3250,4250,Vera Brittain
3251,4251,A.C. Weisbecker
3252,4252,Rachel  Hoffman
3253,4253,Shareef Mabrouk
3254,4254,Alexei Maxim Russell
3255,4255,Shaun Tan
3256,4256,William Shakespeare
3257,4257,Cristiane Serruya
3258,4258,Travis Luedke
3259,4259,Stephen King
3260,4260,Kia Carrington-Russell
3261,4261,Cassidy Storm
3262,4262,Will Schwalbe
3263,4263,Lillian Hellman
3264,4264,John J. Ratey
3265,4265,Melody Beattie
3266,4266,Ivo Andrić
3267,4267,Osamu Dazai
3268,4268,Elaine N. Aron
3269,4269,Kelley Armstrong
3270,4270,Jim Butcher
3271,4271,Mervyn Peake
3272,4272,Chris   Blake
3273,4273,John C. Maxwell
3274,4274,Laura Vanderkam
3275,4275,E.H. Gombrich
3276,4276,Emerson Eggerichs
3277,4277,Thanhhà Lại
3278,4278,Kelly Cozzone
3279,4279,Tan Twan Eng
3280,4280,Mark Shearman
3281,4281,Adele Faber
3282,4282,Richard P. Feynman
3283,4283,Mary Renault
3284,4284,James A. Michener
3285,4285,Isaac Asimov
3286,4286,Jodi Picoult
3287,4287,Elle Luna
3288,4288,Emma McLaughlin
3289,4289,A.R. Merrydew
3290,4290,Alan Moore
3291,4291,Boris Vian
3292,4292,Tanya Thompson
3293,4293,Amy Morin
3294,4294,C.A. Knutsen
3295,4295,Michael Pollan
3296,4296,Reyna Hawk
3297,4297,Riley Sager
3298,4298,Robin S. Sharma
3299,4299,Ruth Ozeki
3300,4300,Wayne W. Dyer
3301,4301,Will Self
3302,4302,V.E. Schwab
3303,4303,Stephen King
3304,4304,Michel de Montaigne
3305,4305,Lynda Wolters
3306,4306,Robert Jordan
3307,4307,Robin LaFevers
3308,4308,Justin Halpern
3309,4309,Linda Goodman
3310,4310,Ally Condie
3311,4311,Janne Teller
3312,4312,Antoine de Saint-Exupéry
3313,4313,Rainer Maria Rilke
3314,4314,Pascal Mercier
3315,4315,Leon Trotsky
3316,4316,Jacqueline Carey
3317,4317,Oswald Chambers
3318,4318,George Eliot
3319,4319,Jerry Pinkney
3320,4320,Winston Groom
3321,4321,Robert Tressell
3322,4322,عباس معروفی
3323,4323,Jeanette Winterson
3324,4324,Lauren Beukes
3325,4325,Leil Lowndes
3326,4326,Lindsay C. Gibson PsyD
3327,4327,Olivie Blake
3328,4328,Jeffrey Archer
3329,4329,Michael Connelly
3330,4330,Natsume Sōseki
3331,4331,Ki Longfellow
3332,4332,Rusty Young
3333,4333,Michio Kaku
3334,4334,John M. Vermillion
3335,4335,Jennifer Donnelly
3336,4336,Deepak Chopra
3337,4337,William Shakespeare
3338,4338,Lucian Bane
3339,4339,Elsa Blomster
3340,4340,Tara Brach
3341,4341,Mortimer J. Adler
3342,4342,Marilyn French
3343,4343,Patrick Ness
3344,4344,Meša Selimović
3345,4345,James Patterson
3346,4346,Mary Burton
3347,4347,Barry Kirwan
3348,4348,Jonathan Franzen
3349,4349,Nisargadatta Maharaj
3350,4350,Michelle Cohen Corasanti
3351,4351,Nataša Pantović
3352,4352,Debbie Herbert
3353,4353,Haemin Sunim
3354,4354,John Irving
3355,4355,Paullina Simons
3356,4356,Lorraine Carey
3357,4357,Heinrich Böll
3358,4358,Melissa de la Cruz
3359,4359,Tom  Baldwin
3360,4360,Lucy Grealy
3361,4361,John Steinbeck
3362,4362,Megan Goldin
3363,4363,Layne Fargo
3364,4364,Guy Caro
3365,4365,Pema Chödrön
3366,4366,Chelsea Luna
3367,4367,C.L.  Hunter
3368,4368,Christopher Moore
3369,4369,Sarah Lyu
3370,4370,Christopher Marlowe
3371,4371,Kimberly Belle
3372,4372,Benjamin R. Barber
3373,4373,Derek Landy
3374,4374,Tom Clancy
3375,4375,Ira Levin
3376,4376,R.C. Westyn
3377,4377,Brother Andrew
3378,4378,James Patterson
3379,4379,T.J. Klune
3380,4380,F. Scott Fitzgerald
3381,4381,Chelsea Luna
3382,4382,Rachel Joyce
3383,4383,Tama Janowitz
3384,4384,Matt Haig
3385,4385,Anthony DiPaolo
3386,4386,Ken Robinson
3387,4387,GRWilson
3388,4388,Seth Godin
3389,4389,Michel Faber
3390,4390,Lee Matthew Goldberg
3391,4391,Sonja Lyubomirsky
3392,4392,Nathaniel Hawthorne
3393,4393,Caroline Louise Walker
3394,4394,Michael Pollan
3395,4395,Karel Čapek
3396,4396,Philip K. Dick
3397,4397,Gary D. Henry
3398,4398,Chelsea Luna
3399,4399,Lucian Bane
3400,4400,Terry Hayes
3401,4401,Nataša Pantović
3402,4402,Kristin Neff
3403,4403,Anna Pitoniak
3404,4404,Stephen Fry
3405,4405,Richard Russo
3406,4406,Chelsea Luna
3407,4407,William Blake
3408,4408,Arthur Paul James
3409,4409,Andrzej Sapkowski
3410,4410,Brit Bennett
3411,4411,Carolyn M. Bowen
3412,4412,Steven Pressfield
3413,4413,Trenton Lee Stewart
3414,4414,Andrea Levy
3415,4415,Mitch Albom
3416,4416,Julie Mannino
3417,4417,James A. Michener
3418,4418,Johann Wolfgang von Goethe
3419,4419,Carol Shields
3420,4420,Chelsea Luna
3421,4421,Kola Boof
3422,4422,Charles Bukowski
3423,4423,William Shakespeare
3424,4424,Gabrielle Zevin
3425,4425,Julie Mannino
3426,4426,Paulo Coelho
3427,4427,Mikhail Sholokhov
3428,4428,Henrik Ibsen
3429,4429,Cece Whittaker
3430,4430,Caroline Myss
3431,4431,Julie Mannino
3432,4432,Dietrich Bonhoeffer
3433,4433,Patrick Ness
3434,4434,Iain M. Banks
3435,4435,Marie Lu
3436,4436,John Brooks
3437,4437,Margaret Atwood
3438,4438,Noah Hawley
3439,4439,Oliver Sacks
3440,4440,Caryl Churchill
3441,4441,R.B. Le`Deach
3442,4442,S.W. Clemens
3443,4443,Wendy Mass
3444,4444,Patricia Briggs
3445,4445,Henning Mankell
3446,4446,Ilya Ilf
3447,4447,Douglas Preston
3448,4448,Chimamanda Ngozi Adichie
3449,4449,Amy Schumer
3450,4450,Luo Guanzhong
3451,4451,Catherynne M. Valente
